especie;bandeja;nag;ntrat50;sucesso_ag;sucesso_trat50;fracasso_ag;fracasso_trat50
schinus;sc1;15;15;4;5;11;10
schinus;sc2;15;15;9;4;6;11
schinus;sc3;15;15;3;2;12;13
schinus;sc4;15;15;7;2;8;13
schinus;sc5;15;15;3;3;12;12
schinus;sc6;15;15;1;1;14;14
schinus;sc7;15;15;1;3;14;12
schinus;sc8;15;15;0;0;15;15
schinus;sc9;15;15;3;0;12;15
schinus;sc10;15;15;3;3;12;12
citharexylum;ci1;15;15;0;0;15;15
citharexylum;ci2;15;15;0;0;15;15
citharexylum;ci3;15;15;0;0;15;15
citharexylum;ci4;15;15;0;1;15;14
citharexylum;ci5;15;15;0;0;15;15
citharexylum;ci6;15;15;1;0;14;15
citharexylum;ci7;15;15;0;1;15;14
citharexylum;ci8;15;15;0;0;15;15
citharexylum;ci9;15;15;0;0;15;15
citharexylum;ci10;15;15;0;1;15;14
lithraea;li1;15;15;1;0;14;15
lithraea;li2;15;15;1;0;14;15
lithraea;li3;15;15;2;1;13;14
lithraea;li4;15;15;1;1;14;14
lithraea;li5;15;15;0;0;15;15
lithraea;li6;15;15;0;0;15;15
lithraea;li7;15;15;0;0;15;15
lithraea;li8;15;15;0;0;15;15
lithraea;li9;15;15;1;0;14;15
lithraea;li10;15;15;2;0;13;15
